competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-04-27,Portsmouth Dreadnoughts,London Blitz B,14,27,Finsbury Park,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-04-27,Berkshire Renegades,Sussex Thunder,6,14,Haywards Heath Rugby Club,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-04-27,South Wales Warriors,Somerset Wyverns,39,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-04-27,Leicester Panthers,Lincolnshire Bombers,34,3,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-04-27,Ipswich Cardinals,Oxford Saints,9,24,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-05-03,East Kilbride Pirates,Nottingham Caesars,12,28,,,,,FALSE,day,,16:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-05-04,Manchester Titans,Coventry Phoenix,7,9,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-05-04,Bristol Aztecs,London Warriors,13,24,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-05-04,Hertfordshire Cheetahs,Rushmoor Knights,9,14,,,,,FALSE,day,,14:30,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-05-04,Inverclyde Goliaths,Clyde Valley Blackhawks,23,6,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-05-04,Scunthorpe Alphas,Yorkshire Rams,21,32,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-05-04,Staffordshire Surge,Northants Knights,3,20,,,,,FALSE,day,,15:30,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-05-04,Colchester Gladiators,East Kent Mavericks,16,31,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-05-04,London Olympians,Kent Exiles,15,12,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-05-04,Solent Thrashers,South Wales Warriors,17,18,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-05-04,Humber Warhawks,Doncaster Mustangs,49,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-05-04,Darlington Steam,Wakefield District Raiders,13,18,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-05-04,Lancashire Buccaneers,Leigh Miners,35,18,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-05-04,Ouse Valley Eagles,Oxford Saints,6,26,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 WEST,2025-05-04,Plymouth Vanguard,Cornwall Monarchs,16,7,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 WEST,2025-05-04,Swindon Storm,Hereford Stampede,6,35,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-05-11,Manchester Titans,P,66,0,,,,,FALSE,day,,16:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-05-11,Rushmoor Knights,Cambridgeshire Cats,35,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-05-11,London Blitz,Hertfordshire Cheetahs,45,0,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-05-11,Clyde Valley Blackhawks,Glasgow Tigers,0,36,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-05-11,Chester Romans,Sheffield Giants,31,13,,,,,FALSE,day,,11:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-05-11,Merseyside Nighthawks,Scunthorpe Alphas,21,50,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-05-11,Northants Knights,Staffordshire Surge,12,21,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
