competition,year,phase,date,time,date_precision,date_display,away_team,home_team,away_score,home_score,status,venue,notes,away_coach,home_coach,is_double_header,is_playoff,confidence_level
buafl,2018,2A South East,2018-11-18,,day,,UEL Phoenix,Cambridge Pythons,8,26,completed,,,,,,,high
buafl,2018,Premiership North,2018-11-24,,day,,Derby Braves,Nottingham Gold,0,43,completed,,,,,,,high
buafl,2018,Premiership South,2018-11-24,,day,,Swansea Titans,Birmingham Lions,20,16,completed,,,,,,,high
buafl,2018,Premiership South,2018-11-24,,day,,Portsmouth Destroyers,UWE Bullets,0,48,completed,,,,,,,high
buafl,2018,Premiership North,2018-11-25,,day,,Stirling Clansmen,Durham Saints,9,6,completed,,,,,,,high
buafl,2018,1A North,2018-11-25,,day,,Glasgow Tigers,Northumbria Mustangs,0,18,completed,,,,,,,high
buafl,2018,1A North,2018-11-25,,day,,Edinburgh Napier Knights,Hull Sharks,32,0,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-11-25,,day,,LJMU Fury,Sheffield Sabres,6,26,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-11-25,,day,,Sheffield Hallam Warriors,Manchester Tyrants,46,6,completed,,,,,,,high
buafl,2018,1A Midlands,2018-11-25,,day,,Warwick Wolves,Nottingham Trent Renegades,0,20,completed,,,,,,,high
buafl,2018,1A Midlands,2018-11-25,,day,,Loughborough Students,Coventry Jets,0,8,completed,,,,,,,high
buafl,2018,1A South West,2019-02-10,,day,,Bath Killer Bees,Cardiff Cobras,34,28,completed,,,,,,,high
buafl,2018,1A South West,2018-11-25,,day,,Exeter Demons,Southampton Stags,19,31,completed,,,,,,,high
buafl,2018,1A South,2018-12-09,,day,,Reading Knights,Surrey Stingers,21,2,completed,,,,,,,high
buafl,2018,1A South East,2018-11-25,,day,,Imperial Immortals,QMBL Vipers,14,24,completed,,,,,,,high
buafl,2018,1A South East,2018-11-25,,day,,UEA Pirates,Kent Falcons,0,14,completed,,,,,,,high
buafl,2018,2A Borders,2018-11-25,,day,,YSJ Jaguars,York Centurions,7,18,completed,,,,,,,high
buafl,2018,2A Borders,2018-11-25,,day,,UWS Pyros,Edinburgh Predators,0,1,awarded,,,,,,,high
buafl,2018,2A Midlands,2018-11-25,,day,,Staffordshire Stallions,Huddersfield Hawks,36,0,completed,,,,,,,high
buafl,2018,2A Midlands,2018-11-25,,day,,Keele Crusaders,MMU Eagles,6,14,completed,,,,,,,high
buafl,2018,2A South West,2018-11-25,,day,,Bournemouth Bobcats,Oxford Lancers,24,6,completed,,,,,,,high
buafl,2018,2A South West,2018-11-25,,day,,OBU Panthers,Bristol Barracuda,14,32,completed,,,,,,,high
buafl,2018,2A South West,2018-11-25,,day,,Gloucestershire Gladiators,Worcester Royals,6,34,completed,,,,,,,high
buafl,2018,2A South,2018-11-11,,day,,Chichester Spitfires,Sussex Saxons,2,15,completed,,,,,,,high
buafl,2018,2A South,2018-11-25,,day,,City Wolfpack,Greenwich Mariners,35,22,completed,,,,,,,high
buafl,2018,2A South,2018-11-25,,day,,KCL Regents,BNU Buccaneers,1,0,awarded,,,,,,,high
buafl,2018,2A South East,2018-11-25,,day,,Cambridge Pythons,Anglia Ruskin Rhinos,35,0,completed,,,,,,,high
buafl,2018,2A South East,2018-11-25,,day,,UEL Phoenix,Essex Blades,0,42,completed,,,,,,,high
buafl,2018,Premiership North,2018-12-02,,day,,Derby Braves,Leeds Beckett Carnegie,11,49,completed,,,,,,,high
buafl,2018,Premiership North,2018-12-02,,day,,Nottingham Gold,Stirling Clansmen,10,3,completed,,,,,,,high
buafl,2018,Premiership South,2018-12-02,,day,,Birmingham Lions,Hertfordshire Hurricanes,0,35,completed,,,,,,,high
