competition,year,phase,date,time,date_precision,date_display,away_team,home_team,away_score,home_score,status,venue,notes,away_coach,home_coach,is_double_header,is_playoff,confidence_level
buafl,2019,Division 1 Southern,2019-11-16,,day,,Brighton Panthers,Portsmouth Destroyers,0,51,completed,,,Chris Denny,,,,high
buafl,2019,Division 1 Southern,2019-11-10,,day,,Surrey Stingers,Brighton Panthers,13,8,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2019,Division 1 Southern,2019-11-03,,day,,Brighton Panthers,Royal Holloway Bears,8,32,completed,,,Chris Denny,,,,high
buafl,2018,Division 1 Southern,2019-02-23,,day,,Brighton Panthers,Reading Knights,14,8,completed,,,Chris Denny,,,,high
buafl,2018,Division 1 Southern,2019-02-17,,day,,Surrey Stingers,Brighton Panthers,19,12,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2018,Division 1 Southern,2018-12-09,,day,,Brighton Panthers,Kingston Cougars,12,3,completed,,,Chris Denny,,,,high
buafl,2018,Division 1 Southern,2019-01-27,,day,,Reading Knights,Brighton Panthers,22,16,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2018,Division 1 Southern,2018-11-25,,day,,Kingston Cougars,Brighton Panthers,2,12,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2018,Division 1 Southern,2018-11-18,,day,,Brunel Burners,Brighton Panthers,6,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2018,Division 1 Southern,2018-11-11,,day,,Brighton Panthers,Brunel Burners,3,40,completed,,,Chris Denny,,,,high
buafl,2017,Division 2 Southern,2018-02-25,,day,,City Wolfpack,Brighton Panthers,0,36,completed,Falmer Campus,,,Richard Cooling,,,high
buafl,2017,Division 2 Southern,2018-02-04,,day,,BNU Buccaneers,Brighton Panthers,0,1,awarded,Falmer Campus,,,Richard Cooling,,,high
buafl,2017,Division 2 Southern,2017-12-10,,day,,Chichester Spitfires,Brighton Panthers,2,28,completed,Falmer Campus,,,Richard Cooling,,,high
buafl,2017,Division 2 Southern,2017-12-03,,day,,Brighton Panthers,KCL Regents,14,0,completed,,,Richard Cooling,,,,high
buafl,2017,Division 2 Southern,2017-11-26,,day,,Brighton Panthers,UCL Emperors,26,12,completed,,,Richard Cooling,,,,high
buafl,2017,Division 2 Southern,2017-11-19,,day,,Brighton Panthers,Royal Holloway Bears,34,0,completed,,,Richard Cooling,,,,high
buafl,2016,Division 1 South Eastern,2017-02-26,,day,,Surrey Stingers,Brighton Panthers,26,12,completed,Falmer Campus,,,Richard Cooling,,,high
buafl,2016,Division 1 South Eastern,2017-02-19,,day,,Brighton Panthers,Reading Knights,6,15,completed,,,Richard Cooling,,,,high
buafl,2016,Division 1 South Eastern,2017-02-12,,day,,Brighton Panthers,Sussex Saxons,6,14,completed,,,Richard Cooling,,,,high
buafl,2016,Division 1 South Eastern,2017-01-29,,day,,Brighton Panthers,Portsmouth Destroyers,0,10,completed,,,Richard Cooling,,,,high
buafl,2016,Division 1 South Eastern,2016-12-11,,day,,Sussex Saxons,Brighton Panthers,20,6,completed,Falmer Campus,,,Richard Cooling,,,high
buafl,2016,Division 1 South Eastern,2016-12-04,,day,,Brighton Panthers,Surrey Stingers,0,16,completed,,,Richard Cooling,,,,high
buafl,2016,Division 1 South Eastern,2016-11-13,,day,,Reading Knights,Brighton Panthers,7,0,completed,Falmer Campus,,,Richard Cooling,,,high
buafl,2016,Division 1 South Eastern,2016-11-06,,day,,Portsmouth Destroyers,Brighton Panthers,24,0,completed,Falmer Campus,,,Richard Cooling,,,high
buafl,2015,Division 1 South Eastern,2016-02-21,,day,,Brighton Panthers,Kent Falcons,0,8,completed,,,Chris Denny,,,,high
buafl,2015,Division 1 South Eastern,2016-02-07,,day,,Brighton Panthers,Sussex Saxons,28,0,completed,,,Chris Denny,,,,high
buafl,2015,Division 1 South Eastern,2016-01-31,,day,,Cambridge Pythons,Brighton Panthers,7,33,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2015,Division 1 South Eastern,2016-01-24,,day,,Brighton Panthers,UEA Pirates,14,6,completed,,,Chris Denny,,,,high
buafl,2015,Division 1 South Eastern,2015-12-06,,day,,Kent Falcons,Brighton Panthers,2,9,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2015,Division 1 South Eastern,2015-11-29,,day,,UEA Pirates,Brighton Panthers,6,8,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2015,Division 1 South Eastern,2015-11-22,,day,,Brighton Panthers,Cambridge Pythons,12,6,completed,,Overtime. 6-6 at the end of regulation.,Chris Denny,,,,high
buafl,2015,Division 1 South Eastern,2015-11-08,,day,,Sussex Saxons,Brighton Panthers,20,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2014,Premier South,2015-02-15,,day,,Brighton Panthers,Hertfordshire Hurricanes,0,78,completed,,,Chris Denny,,,,high
buafl,2014,Premier South,2015-02-08,,day,,Brighton Panthers,Bath Killer Bees,2,57,completed,,,Chris Denny,,,,high
buafl,2014,Premier South,2015-02-01,,day,,Imperial Immortals,Brighton Panthers,2,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2014,Premier South,2015-01-25,,day,,Birmingham Lions,Brighton Panthers,54,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2014,Premier South,2014-11-30,,day,,Hertfordshire Hurricanes,Brighton Panthers,58,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2014,Premier South,2014-11-16,,day,,Brighton Panthers,Birmingham Lions,0,67,completed,,,Chris Denny,,,,high
buafl,2014,Premier South,2014-11-09,,day,,Brighton Panthers,Imperial Immortals,6,12,completed,,,Chris Denny,,,,high
buafl,2014,Premier South,2014-11-02,,day,,Bath Killer Bees,Brighton Panthers,27,7,completed,Falmer Campus,,,Chris Denny,,,high
