competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach
buafl,2012,South Eastern B,2013-02-03,Southampton Stags,Brighton Panthers,2,3,Falmer Campus,,,James Ormrod
buafl,2012,South Eastern B,2013-01-27,Portsmouth Destroyers,Brighton Panthers,6,14,Falmer Campus,,,James Ormrod
buafl,2012,South Eastern B,2012-12-02,Surrey Stingers,Brighton Panthers,8,14,Falmer Campus,,,James Ormrod
buafl,2012,South Eastern B,2012-11-25,Brighton Panthers,Royal Holloway Bears,28,0,,,James Ormrod,
buafl,2012,South Eastern B,2012-11-18,Brighton Panthers,Oxford Lancers,25,0,,,James Ormrod,
buafl,2011,,2012-03-04,Essex Blades,Brighton Panthers,0,15,Falmer Campus,,,James Ormrod
buafl,2011,,2012-02-26,Brighton Panthers,LSBU Spartans,11,0,,,James Ormrod,
buafl,2011,,2012-02-19,Brighton Panthers,Hertfordshire Hurricanes,7,54,,,James Ormrod,
buafl,2011,,2012-01-29,Brighton Panthers,Westminster Dragons,35,0,,,James Ormrod,
buafl,2011,,2011-12-11,Greenwich Mariners,Brighton Panthers,19,0,Falmer Campus,,,James Ormrod
buafl,2011,,2011-11-20,Kent Falcons,Brighton Panthers,13,8,Falmer Campus,,,James Ormrod
buafl,2011,,2011-11-13,Canterbury Chargers,Brighton Panthers,12,21,Falmer Campus,,,James Ormrod
buafl,2011,,2011-11-06,Brighton Panthers,UEA Pirates,18,24,,,James Ormrod,
buafl,2010,,2011-03-06,Canterbury Chargers,Brighton Panthers,14,26,Falmer Campus,,,Martin Harrison
buafl,2010,,2011-02-27,KCL Regents,Brighton Panthers,22,28,Falmer Campus,,,Martin Harrison
buafl,2010,,2011-02-13,Brighton Panthers,Kent Falcons,0,6,,,Martin Harrison,
buafl,2010,,2011-01-30,Hertfordshire Hurricanes,Brighton Panthers,57,0,Falmer Campus,,,Martin Harrison
buafl,2010,,2011-01-23,Brighton Panthers,Solent Redhawks,17,22,,,Martin Harrison,
buafl,2010,,2010-11-29,Brighton Panthers,Greenwich Mariners,27,6,,,Martin Harrison,
buafl,2010,,2010-11-14,Brighton Panthers,Southampton Stags,13,27,,,Martin Harrison,
buafl,2010,,2010-11-07,Portsmouth Destroyers,Brighton Panthers,32,0,Falmer Campus,,,Martin Harrison
buafl,2009,,2010-02-28,Greenwich Mariners,Brighton Panthers,26,9,Falmer Campus,,,Tony Bainbridge
buafl,2009,,2010-02-21,Anglia Ruskin Phantoms,Brighton Panthers,14,27,Falmer Campus,,,Tony Bainbridge
buafl,2009,,2010-01-31,Brighton Panthers,Portsmouth Destroyers,20,30,,,Tony Bainbridge,
buafl,2009,,2009-12-13,Brighton Panthers,UEA Pirates,10,8,,,Tony Bainbridge,
buafl,2009,,2009-11-29,Imperial Immortals,Brighton Panthers,2,33,Falmer Campus,,,Tony Bainbridge
buafl,2009,,2009-11-22,Brighton Panthers,Southampton Stags,6,14,,,Tony Bainbridge,
buafl,2009,,2009-11-15,Brighton Panthers,Royal Holloway Bears,18,0,,,Vacant,
buafl,2009,,2009-11-08,Solent Redhawks,Brighton Panthers,20,0,Falmer Campus,,,Jim Roberson
buafl,2008,,2009-02-22,Brighton Panthers,Hertfordshire Hurricanes,14,57,,,Tony Bainbridge,
